施設名,施設分類_大分類,施設分類_小分類,所管部課,所在地,地区,延べ床面積合計_m2,建築面積合計_m2,建築年度_最古棟,老朽化度,支出6年平均_円,減価償却費_円,利用者数_人,市民1人当たりコスト_円,利用者1人当たりコスト_円,出典PDF,出典ページ
市営北浜住宅,公営住宅施設,公営住宅,,,形原,3423.0,,1982,3.4,9572000,,,,,hakusho_r2kaitei.pdf,p.79
市民会館,公民館等施設,市民会館,,,蒲郡北,13233.0,,1973,3.9,145588000,,218146,,,hakusho_r2kaitei.pdf,p.33
蒲郡公民館,公民館等施設,公民館,,,蒲郡南,806.0,,2013,1.0,7433000,,17696,,,hakusho_r2kaitei.pdf,p.34
小江公民館,公民館等施設,公民館,,,蒲郡南,677.0,,1975,3.6,7702000,,14807,,,hakusho_r2kaitei.pdf,p.34
府相公民館,公民館等施設,公民館,,,蒲郡南,595.0,,2019,1.0,,,,,,hakusho_r2kaitei.pdf,p.34
東部公民館,公民館等施設,公民館,,,蒲郡南,695.0,,1973,3.0,7287000,,31902,,,hakusho_r2kaitei.pdf,p.34
北部公民館,公民館等施設,公民館,,,蒲郡北,551.0,,1977,3.0,6496000,,30430,,,hakusho_r2kaitei.pdf,p.34
西部公民館,公民館等施設,公民館,,,蒲郡北,418.0,,1975,3.2,6580000,,9808,,,hakusho_r2kaitei.pdf,p.34
三谷公民館,公民館等施設,公民館,,,三谷,1951.0,,1971,3.0,16427000,,33161,,,hakusho_r2kaitei.pdf,p.34
塩津公民館,公民館等施設,公民館,,,塩津,554.0,,1975,3.1,7645000,,18257,,,hakusho_r2kaitei.pdf,p.34
大塚公民館,公民館等施設,公民館,,,大塚,742.0,,1972,3.0,10485000,,30241,,,hakusho_r2kaitei.pdf,p.34
形原公民館,公民館等施設,公民館,,,形原,845.0,,2009,1.2,9000000,,26315,,,hakusho_r2kaitei.pdf,p.34
西浦公民館,公民館等施設,公民館,,,西浦,1078.0,,1976,3.1,10263000,,36884,,,hakusho_r2kaitei.pdf,p.34
蒲郡南部小学校,学校教育施設,小学校,,,蒲郡南,6952.0,,1949,2.5,55057000,,326,,,hakusho_r2kaitei.pdf,p.49
蒲郡東部小学校,学校教育施設,小学校,,,蒲郡南,5231.0,,1966,2.4,35865000,,291,,,hakusho_r2kaitei.pdf,p.49
蒲郡北部小学校,学校教育施設,小学校,,,蒲郡北,4854.0,,1952,2.7,42234000,,314,,,hakusho_r2kaitei.pdf,p.49
蒲郡西部小学校,学校教育施設,小学校,,,蒲郡北,3756.0,,1952,2.6,40451000,,71,,,hakusho_r2kaitei.pdf,p.49
三谷小学校,学校教育施設,小学校,,,三谷,6147.0,,1957,2.7,47377000,,230,,,hakusho_r2kaitei.pdf,p.49
塩津小学校,学校教育施設,小学校,,,塩津,7278.0,,1960,3.1,38440000,,530,,,hakusho_r2kaitei.pdf,p.49
大塚小学校,学校教育施設,小学校,,,大塚,5405.0,,1956,2.8,34517000,,290,,,hakusho_r2kaitei.pdf,p.49
形原小学校,学校教育施設,小学校,,,形原,6261.0,,1967,2.9,47028000,,351,,,hakusho_r2kaitei.pdf,p.49
西浦小学校,学校教育施設,小学校,,,西浦,6242.0,,1953,3.0,44679000,,235,,,hakusho_r2kaitei.pdf,p.49
形原北小学校,学校教育施設,小学校,,,形原,6447.0,,1966,2.7,43486000,,547,,,hakusho_r2kaitei.pdf,p.49
中央小学校,学校教育施設,小学校,,,蒲郡北,6409.0,,1966,2.6,43764000,,310,,,hakusho_r2kaitei.pdf,p.49
三谷東小学校,学校教育施設,小学校,,,三谷,6765.0,,1957,2.8,39536000,,317,,,hakusho_r2kaitei.pdf,p.49
