建築年代,施設数,延床面積合計_m2,築年数レンジ_2026年時点
1940年代,1,6952.0,77〜86年
1950年代,10,42186.0,67〜76年
1960年代,21,98007.0,57〜66年
1970年代,31,65471.0,47〜56年
1980年代,16,18336.0,37〜46年
1990年代,16,40772.0,27〜36年
2000年代,8,14063.0,17〜26年
2010年代,6,4997.0,7〜16年
